Name,Locality,State,Country,Latitude,Longitude,Room Type,Guest Count,Price,Ratings
Colonial Bungalow in a serene locality in Delhi,New Delhi,Delhi,India,28.58985,77.24795,Entire bungalow,15,661,0
Horizon 360 - Pet friendly villa for family,Mahabaleshwar,Maharashtra,India,17.92718,73.67217,Entire villa,15,548,0
Luxurious 5+1 bhk villa with pool on river bank.,Reis Magos,Goa,India,15.507,73.812,Entire villa,12,541,0
5 Lakeside Villas For Up To 27 Person In Kumarakom,Kumarakom,Kerala,India,9.58526,76.42267,Entire villa,16,601,0
9bhk Vibhati Resort  for Large group And Events.,Aundholi,Maharashtra,India,18.70868,73.46052,Private room in resort,16,567,0
The Baga Beach Villa 5BHK with Private Pool,Calangute,Goa,India,15.53888,73.76503,Entire villa,15,601,0
7BHK Beach Villa with Private Pool,Calangute,Goa,India,15.533,73.762,Entire villa,16,545,4.93
Haveli Anirudh 7 BR with Pool near Jaipur,Bagru,Rajasthan,India,26.78134,75.52838,Farm stay,16,524,0
Pushp Villa at Amayaah Resorts,Narendra Nagar,Uttarakhand,India,30.13509,78.30805,Private room in resort,6,706,0
2 Private Pool Villa's in Candolim - Pvt Cook,Candolim,Goa,India,15.51971,73.77465,Entire home,16,561,4.33
Villa Evora by Lohono Stays,Assagaon,Goa,India,15.60493,-73.75071,Entire villa,10,640,0
The Project Cafe - Portuguese Villa,Assagao,Goa,India,15.602,73.783,Entire villa,13,541,0
PALACiO - 6BHK Mansion,Kune N.m.,Maharashtra,India,18.77096,73.37924,Entire villa,16,598,0
12 Bedroom Heritage+ Boutique stay+ Vagator,Vagator,Goa,India,15.59441,73.74917,Entire villa,16,661,0
"""Splendid 3 BHk Apartments with Pool & Seaview!""",Dabolim,Goa,India,15.37225,73.89023,Entire condo,7,601,2.33
Exotic Farm house |6 Acre | Orchards | AC |Solan,Kasauli,Himachal Pradesh,India,30.90024,76.96419,Farm stay,16,601,0
StayVista at Frosty @ Frozen Fall - Drung,Tangmarg,Jammu and Kashmir,India,34.03872933356943,74.40793628793006,Private room in villa,10,716,0
The Purple Lotus,Tilase,Maharashtra,India,19.64953,73.2105,Farm stay,16,661,0
5 BedRoom Villa on the Chapora river in Colvale,Colovale,Goa,India,15.65007,73.81935,Entire villa,8,722,4.73
CHIKOO SKY New 5BHK Villa Private Pool Candolim,Candolim,Goa,India,15.51608,73.78854,Entire villa,14,550,4.7
Anagha Homestay,Udaipur,Rajasthan,India,24.54901,73.67723,Entire bungalow,16,490,4.91
